Tweet,Student,"Sentiment (positive, negative, or Neutral)"
rt AT_USER winter does absolutely nothing for my skin/lips \ud83d\udc4e\ud83c\udffc\ud83d\ude11\u2639\ufe0f,Joseph Carron,negative
rt AT_USER winter in banff national park - a photo essay URL explorealberta AT_USER AT_USER URL,Joseph Carron,neutral
rt AT_USER thanksgiving break and christmas break should be combined to make a month long winter break,Joseph Carron,negative
"tian winter \""raving\"" now available on itunes URL AT_USER",Joseph Carron,neutral
we can't get through winter running with our AT_USER gear &amp; these essentials: URL fitfam fit URL,Joseph Carron,neutral
AT_USER ahaha i wouldn't mind skipping fall and winter tbh \ud83d\ude09,Joseph Carron,negative
rt AT_USER ladies here is your weekly fashion update from thursdaygirl \u2013 the perfect winter boot URL URL,Joseph Carron,neutral
winter nights with you!\ud83d\udcad,Joseph Carron,positive
stop in and see what at the fence is giving away this time! AT_USER giveaway URL,Joseph Carron,neutral
"ah, boobsicles. common in winter when you're breastfeeding. URL",Joshua Blumberg,negative
rt AT_USER winter aesthetic URL,Joshua Blumberg,neutral
rt AT_USER montana northern rockymountains winter storm warning: URL be safe out there! severeweather,Joshua Blumberg,negative
dreamhack winter 2015. it's on! URL,Joshua Blumberg,positive
i liked a AT_USER video from AT_USER URL winter morning routine!,Joshua Blumberg,positive
rt AT_USER our friends AT_USER will be brightening up your winter with some treats in our goodybags this sunday! URL,Joshua Blumberg,positive
rt AT_USER ice cream tastes better in winter tbh.,Joshua Blumberg,positive
"rt AT_USER peacock lane, zoo lights, tree lighting, winter wonderland\ud83d\ude0d cute date where you @ ?!? URL",Joshua Blumberg,positive
winter makes me sad,Joshua Blumberg,negative
"rt AT_USER yes the winter formal has been approved, but we're still working on finalizations for everything else. academic eagles \u2026",Joshua Blumberg,positive
rt AT_USER winter is coming URL,Joshua Blumberg,neutral
"rt AT_USER like winter is not for me. give me a heated blanket, hot chocolate, and a thermostat on 74\u00b0 and i'm good.",Joshua Blumberg,negative
rt AT_USER and the winner fpr best rcmp tweet for winter driving goes to: AT_USER well played! AT_USER URL,Joshua Blumberg,positive
do i need to have read cinder in order to get around to reading winter? i mean\u2026is it actually series rather than companions?,Joshua Blumberg,neutral
\u2018tis the season to prepare your home for cold weather; the i.i.i. offers tips for preventing winter related damage URL,Joshua Blumberg,neutral
rt AT_USER when you find out your crush already has a date to the winter formal... URL,Joshua Blumberg,negative
AT_USER goggles on the way for the winter finna rock em snowboarding,Joshua Blumberg,positive
"rt AT_USER in more news i didn't mention: shooting AT_USER in tulsa during december, and it's the reason i won't have free time \u2026",Joshua Blumberg,negative
rt AT_USER 7 of the most stylish winter-ready rooftops: URL URL,Joshua Blumberg,neutral
rt AT_USER is climacool right for winter nights? twitterblades,Joshua Blumberg,neutral
"rt AT_USER our AT_USER team has put together a great weather resource for live, streaming updates! click here for it: URL",Joshua Blumberg,neutral
rt AT_USER one kind word can warm three winter months.,Joshua Blumberg,positive
the blanket scarf is the ultimate winter accessory: these stylish ladies are the proof. URL,Joshua Blumberg,neutral
rt AT_USER winter has arrived!have dinner with us this evening &amp; try many of our homemade dishes. steak&amp;ale pie is popular. h\u2026,Joshua Blumberg,positive
the bad thing about winter is that all of my favorite fruits aren't in season anymore \ud83d\ude41,Joshua Blumberg,negative
"rt johndarnold5: rt rottorealtor 5 winter home improvement projects for less than $1,000 realtormag URL realestate r\u2026",Joshua Blumberg,neutral
find your winter style in our latest drop of new season wears URL URL,Joshua Blumberg,neutral
ensure your pets are warm and well-cared for this winter by keeping these cold weather tips in mind &gt;&gt; URL pethealth,Joshua Blumberg,neutral
"winter clothing haul! adidas, timberland, a&amp;f, bull head, etc. URL",Joshua Blumberg,neutral
\u2018scandal\u2019 season 5 spoilers \u2014 will huck kill papa pope in the winter finale? URL URL,Joshua Blumberg,neutral
vail co - massage therapist - winter seasonal - ft and pt - the lodge at vail a rockresor... - description rea... URL,Joshua Blumberg,neutral
rt AT_USER AT_USER begins prep work for the winter season2016 URL tistheseason,Joshua Blumberg,neutral
"AT_USER AT_USER i second this. especially for winter, i'm texting jenji right now",Joshua Blumberg,neutral
winter loving URL on AT_USER,Joshua Blumberg,positive
rt AT_USER check out the givingtuesdaynm opportunities on AT_USER URL,Joshua Blumberg,positive
the winter's tale by william shakespeare read online on URL,Joshua Blumberg,neutral
rt AT_USER all sorted for the weekend x winter woolies bought ready for winterwonderland \ud83c\udf85\ud83c\udffb\ud83c\udf85\ud83c\udffb\ud83c\udf84\ud83c\udf84\ud83c\udf77\ud83c\udf77 and best of all i see AT_USER xx\u2026,Joshua Blumberg,neutral
win the ultimate winter driving kit to stay safe on britain\u2019s roads - all in london URL via AT_USER,Joshua Blumberg,neutral
rt AT_USER this new trend in doggy winter fashion is so fetch. URL URL,Joshua Blumberg,positive
my winter break will be spent tanning and on the treadmill,Joshua Blumberg,positive
"rt AT_USER double sided \""let it snow\"" and \""make it stop\"" doggie banner URL puppy dog winter giftsfordoglovers\u2026",Joshua Blumberg,neutral
rt dmarie824: i just entered to win a free pair of shoes from seekairun! (arv $50) christmas2015 iamcapturingtm URL,Joshua Blumberg,positive
rt AT_USER fall/winter+ URL,Joshua Blumberg,neutral
AT_USER iheartshawnandcamila are you going to perform stitches at the winter ball?,Joshua Blumberg,positive
when i whipped the rav during the winter last year URL,Joshua Blumberg,neutral
can't wait to get to my home down this winter. going to be snow and me and my uncle are going to mudding and hunting \ud83d\udc17 \ud83d\udc17\ud83d\udc17,Joshua Blumberg,positive
winter boots women's faux fur suede mid calf warm snow fashion plush 4 colors - buy it now\u2026 URL URL,Joshua Blumberg,neutral
i need to start getting winter clothes,Joshua Blumberg,neutral
AT_USER AT_USER would be great for winter x,Joshua Blumberg,neutral
"rt AT_USER \""that's not cute... that looks like a freakin butt hole\"" \ud83d\ude02\ud83d\ude02 AT_USER can't wait for winter colors \ud83d\udc81\ud83c\udffb URL",Joshua Blumberg,positive
rt AT_USER 8 nearby winter getaways for chills and thrills including via AT_USER hersheypa hersheypark familytravel https:\u2026,Kevin Cai,positive
"rt AT_USER winter storm watch now in effect thursday in the shaded blue area, mainly for icing potential. URL",Kevin Cai,neutral
work hard in the winter flex crazy in the summer,Kevin Cai,neutral
rt AT_USER free winter fire safety materials are available from AT_USER URL URL,Kevin Cai,neutral
i hate the winter time bc they nights come quicker.. the light make the whites think i'm a nice young nigga. but at night they think twice..,Kevin Cai,negative
"rt AT_USER i hope yall ready.. finna give yall this real work, whole winter mines\u203c\ufe0f\u203c\ufe0f URL",Kevin Cai,neutral
60 degrees outside and a winter weather advisory alright kansas,Kevin Cai,neutral
rt AT_USER i liked a AT_USER video from AT_USER URL new village guard rant! clash of clans new winter update\u2026,Kevin Cai,positive
"rt AT_USER southeast around 10pm you will see orion the hunter. orion will be visible earlier in the evening, as we get closer to the winter\u2026",Kevin Cai,neutral
here's a short clip of the girls superb performance this evening at blackpool winter gardens. more photos to come! URL,Kevin Cai,positive
AT_USER we all need to chill over winter break for old times sake,Kevin Cai,positive
"rt AT_USER AT_USER ...basketball shorts and hoodies are only \""winter clothes\"" in socal \ud83d\ude09 buyacoat realwinterstruggles \u2744\u26c4",Kevin Cai,neutral
new 2014 winter women\u2019s large fur collar white duck down coats slim thickening frozen down\u2026 URL URL,Kevin Cai,neutral
new 2014 winter plus size 6xl women\u2019s racoonfur collar slim thickening white duck down\u2026 URL URL,Kevin Cai,neutral
rt AT_USER ecvisualize dreamhack winter cs:go: this weekend our cs:go team will be in sweden to represent ecvisualize. t... URL,Kevin Cai,neutral
rzonefans: rt pksubban1: watch me spreading the love around montreal for the winter classic jersey signing at hop\u2026 URL,Kevin Cai,positive
rt AT_USER winter sale - apartments from \u00a350 pn (2 night min stay) - ask about a free beach hut! URL https:/\u2026,Kevin Cai,neutral
rt AT_USER your winter workout (without even leaving the house) AT_USER URL by AT_USER URL,Kevin Cai,neutral
rt AT_USER thanks AT_USER AT_USER is a winter slam-dunk for families AT_USER URL URL,Kevin Cai,positive
idk bc i love it \ud83d\ude05 mtvstars one direction URL,Kevin Cai,positive
"our winter bookstore sale is here! save 10% with the code below. don't delay, these deals only last through 1/8! URL",Kevin Cai,neutral
rt AT_USER get ready for winter by weather proofing your home. URL,Kevin Cai,neutral
"rivini 2016 fall winter bridal collection: with petal softness, crisp and creamy shades of bleached white and ... URL",Kevin Cai,neutral
view AT_USER x AT_USER 2015 fall/winter collection URL URL,Kevin Cai,neutral
patiently waiting 4 jan.! URL,Kevin Cai,neutral
my skin is the worst it's probably ever been thanks winter,Kevin Cai,negative
"nhl hockey 2008 nhl winter classic, buffalo, ny sabres &amp; penguins program &amp; 2\u2026 URL sporting URL",Kevin Cai,neutral
"rt AT_USER summer can not come quick enough, life can not be enjoyed during winter months",Kevin Cai,negative
i liked a AT_USER video from AT_USER URL delhi winter fashion essentials {delhi fashion blogger},Kevin Cai,positive
rt AT_USER winter storm watch issued for thanksgiving day URL URL,Kevin Cai,neutral
a decent pair of winter boots should not be $200 \ud83d\ude21\ud83d\ude21,Kevin Cai,negative
free winter ice beauty box for new julep\u00a0mavens! URL URL,Kevin Cai,neutral
hope i come back to school from winter break driving,Kevin Cai,neutral
AT_USER jnr players &amp; potential newcomers will b informed/invited nxt week2dates &amp; venues for jan winter training to b ready4 AT_USER,Kevin Cai,neutral
rt AT_USER memories made in the coldest winter,Kevin Cai,neutral
drop dead's new winter range comes out tomorrow i can't wait.,Kevin Cai,positive
rt AT_USER jaitley reaches out to congress in final push to get gst bill through; parliament winter session set for hot debate \u2026,Kevin Cai,neutral
virginia from fynes designs always makes the cutest signs! i just love this sweet winter kitchen sign she made!... URL,Kevin Cai,positive
visitor info | tour scotland winter video king robert the bruce monument stirling castle: tour s... URL tourscotland,Kevin Cai,neutral
rt AT_USER .AT_USER announce winter tour dates :: URL URL,Kevin Cai,neutral
"nothing like getting a bunch accomplished, hired for 2 more gigs and going for a walk in a winter wonderland \ud83d\ude00\ud83d\ude00",Kevin Cai,positive
best defense this winter in protecting your skin! AT_USER AT_USER AT_USER URL,Kevin Cai,neutral
5 of 5 stars to winter of the world by ken follett URL,Kevin Cai,positive
rt AT_USER it's time for the winter mani! rt &amp; follow to win our nail art tool kit. ends 25th nov. t&amp;cs. URL kda,Kevin Cai,positive
rt AT_USER winter road! URL,Kevin Cai,neutral
"leavenworth, washington looking like a winter wonderland. URL",Kevin Cai,positive
winter 2016 sportball programs are online! details: URL register now to ensure a space! yyj,Kevin Cai,neutral
rt AT_USER winter formal is official \u2744\ufe0f\ud83c\udf8a,Kevin Cai,neutral
it smells like winter. \ud83d\ude2d,Kevin Cai,neutral
"winter storm watch for oldham, potter, carson, gray, wheeler, deaf smith, randall, armstrong and donley county until 12:00pm saturday.",Kevin Cai,neutral
my eye is so itchy wtf it's winter,Lawrence Yong,negative
"rt AT_USER new artwork for sale! - \""red barn in winter\"" - URL AT_USER URL",Lawrence Yong,neutral
surprise snowstorm turns beijing into winter wonderland URL,Lawrence Yong,positive
"c'est officiel, winter is coming...",Lawrence Yong,negative
rt AT_USER taemin's winter aesthetic URL,Lawrence Yong,neutral
1: northside icicle winter boot (toddler/little kid/big kid) URL,Lawrence Yong,neutral
the dilemma facing syrian refugees: the journey for refugees is more perilous than ever as winter sets in acro... URL,Lawrence Yong,negative
landscaping in winter URL,Lawrence Yong,neutral
rt AT_USER when life gives you snow... make maple snow candy! yummy kids winter URL,Lawrence Yong,positive
bundled. yyc yycsnow winter snow cold chilly brr hood cozy fur parka calgary\u2026 URL,Lawrence Yong,neutral
i want to win 2 vip tix to AT_USER + winter merch by AT_USER via AT_USER AT_USER URL,Lawrence Yong,neutral
rt AT_USER bruins and habs rosters for winter classic alumni game...awesome URL,Lawrence Yong,positive
2015 new fashion autumn winter women brand faux soft leather jackets no motorcycle URL,Lawrence Yong,neutral
rt AT_USER winter lighthouse\u2744\ufe0f\u2744\ufe0f\u2744\ufe0f URL,Lawrence Yong,neutral
AT_USER i wonder whether the druids were put out at the co-opting/rebranding of their holy winter solstice rites.,Lawrence Yong,neutral
AT_USER will you guys be filming for dreamhack winter?,Lawrence Yong,neutral
"rt AT_USER winter death stats announced tomorrow, burried under the spending review. 40k dead &amp; coldest winter in 50yrs coming https\u2026",Lawrence Yong,negative
winter depresses me with how s*** it is,Lawrence Yong,negative
AT_USER re: black fri: save 45% on the winter coiffie collection thru sun 11/29. use discount code save45 URL,Lawrence Yong,positive
i want to go on cute winter dates... but spontaneous ones... not the typical thing... ya know?,Lawrence Yong,positive
columbia women winter hooded insulated jacket coat l xl blue new ski at tactical gear zone -&gt; URL columbia hiking \u2026,Lawrence Yong,negative
AT_USER AT_USER AT_USER because it's about to be winter.,Lawrence Yong,neutral
rt AT_USER just in: winter storm cara has been named. the storm will affect a large portion of the west and plains this week: https:\u2026,Lawrence Yong,neutral
that'll be winter then!!!!!!!! russian plane gets shot down by the turks but your news is....it'll be cold in winter URL,Lawrence Yong,negative
"when it's winter, but you can still drive around with your windows down\ud83d\ude0a",Lawrence Yong,positive
so excited for winter wonderland with jack \ud83d\ude0d\u2744\u26c4,Lawrence Yong,positive
AT_USER oh and use your position of influence to make psoriasis the must have cool thing this winter,Lawrence Yong,neutral
"rt AT_USER sigh. warm weather in winter kswx months is a blessed curse. nice today, but on it's heels shall follow freezing rain/ic\u2026",Lawrence Yong,negative
why does winter spinach taste better? AT_USER shares facts &amp; recipes! and URL URL,Lawrence Yong,positive
kidneys always give up on me in the winter \ud83d\ude25\ud83d\ude25\ud83d\ude25,Lawrence Yong,negative
rt marwan_mahmoud0: rt tiendyfashion: a winter look by tiendy fashion URL polyvorestyle,Lawrence Yong,neutral
don't settle for all this wind &amp; rain! book yourself a week in mallorca - &amp; experience winter training in the sunshine \u2600\ufe0f\ud83d\udeb4 triathlon,Lawrence Yong,positive
winter beans coming very well drilled straight in to stubble with our AT_USER dts drill AT_USER striptill URL,Lawrence Yong,positive
blindspot: we finally learn who tattooed jane \u2014 and it's a shocker! URL via AT_USER,Lawrence Yong,positive
not having someone to lay in bed with in the winter is the worst,Lawrence Yong,negative
i \u2661 it: 10 winter decorations for your room! - URL,Lawrence Yong,neutral
we're working on lots of displays over the winter! come back and see us soon! URL,Lawrence Yong,neutral
rt AT_USER AT_USER your money adviser: how to manage home heating costs before winter\u2019s chill sets URL,Lawrence Yong,neutral
i can't wait to have more time again for everything i love to do over winter break. i miss playing music so much.,Lawrence Yong,positive
winter storm to hit southern idaho over the thanksgiving holiday URL,Lawrence Yong,neutral
winter weather advisory issued november 24 at 2:26pm mst until november 26 at 11:00am mst by nws URL wxmt,Lawrence Yong,neutral
expert advice on preparing for severe winter weather: URL AT_USER,Lawrence Yong,neutral
rt AT_USER it's time for the winter mani! rt &amp; follow to win our nail art tool kit. ends 25th nov. t&amp;cs. URL xcs,Lawrence Yong,neutral
"rt AT_USER neely, bourque highlight bruins-#canadiens AT_USER winter classic alumni game - AT_USER - URL",Lawrence Yong,neutral
drinking a satsuma samurai winter citrus ipa by AT_USER at AT_USER \u2014 URL,Lawrence Yong,positive
winter comes | comingsoon AT_USER k_loc_gorillapits AT_USER AT_USER URL,Lawrence Yong,neutral
i gotta get swole for winter so i can stay warm,Lawrence Yong,neutral
rt AT_USER love this scarf !! URL shoppershour craftshout giftideas scarf URL,Lawrence Yong,positive
"i just have to get through this week\"" \u2014 me last week, this week, and every week until winter break",Lawrence Yong,negative
"anthony farnell\u2019s winter forecast: we could see record warm start across canada: after two brutal winters across much of canada, a ki...",Lawrence Yong,neutral
rt AT_USER i wanna go to the winter ball but idk if it's worth all the money \ud83d\ude41,Madeleine Chone,neutral
rt AT_USER nothing like a stroll through times square to make me yearn for nuclear winter.,Madeleine Chone,negative
"rt AT_USER f*** love in the spring, i feel love in the winter.",Madeleine Chone,positive
"rt AT_USER opening friday! winter is here &amp; we'll be open fri, sat &amp; sun :) URL idaho winter snow tgif https\u2026",Madeleine Chone,positive
AT_USER everything is better than chicago in the winter,Madeleine Chone,negative
"want to do a winter break domestic mission trip? join us AT_USER in charlotte,nc jan. 4-7, 2016! hoperestored URL",Madeleine Chone,positive
winter is here nike shoes sneakerboot @ famous footwear URL,Madeleine Chone,positive
rt AT_USER we are ready for winter weather. we hope you are too. URL URL,Madeleine Chone,positive
nice blend of hops in this winter warmer - drinking an experimental winter 2015 @ edisto beach - URL,Madeleine Chone,positive
we rocking all winter!! URL,Madeleine Chone,positive
a woman who has re-homed battery chickens has developed a novel way to keep them warm this winter &lt;3 URL,Madeleine Chone,neutral
intro to trading winter spreads: URL via AT_USER,Madeleine Chone,neutral
rt AT_USER don\u2019t get cold feet. winter is when the committed getouthere. URL URL,Madeleine Chone,Netural
rt AT_USER stop the killing of yellowstone's wild bison this winter. there are better options. URL URL,Madeleine Chone,negative
the look on their faces christmas morning will be priceless. book your bobsleigh rides here URL URL,Madeleine Chone,positive
i'm trynna push a tear here bc i want this. bad URL,Madeleine Chone,Netative
"rt AT_USER whoever doesn't like winter is crazy, winter is the s***",Madeleine Chone,positive
rt AT_USER exciting news! we have secured a low-barrier emergency winter shelter location! find the details here! URL,Madeleine Chone,neutral
can winter come and go already. i hate the cold. i need summer back in my life URL,Madeleine Chone,negative
rt AT_USER what tale will the peddler kerron tell? hedge king in winter part 8 AT_USER wattpad fantasy URL,Madeleine Chone,neutral
"on the plus side, only a week until i deploy my command centre for the rest of the winter. \ud83d\udc49 pumped \ud83d\udc48",Madeleine Chone,neutral
"rt AT_USER exo's special winter album is confirmed! they'll be releasing the album this december, and will be promoting it!! URL",Madeleine Chone,positive
winter = dry skin! enter to win a live clean fresh face bundle valued at $70 from AT_USER and AT_USER URL,Madeleine Chone,neutral
rt AT_USER it's time for the winter mani! rt &amp; follow to win our nail art tool kit. ends 25th nov. t&amp;cs. URL dmz,Madeleine Chone,neutral
AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER i c london lady.winter break?,Madeleine Chone,neutral
"rt AT_USER new this year, chip timing provided by AT_USER uknowuwanna crwwinterseries getfit URL",Madeleine Chone,neutral
rt AT_USER hello new arrivals! london fashionblogger winter christmas URL,Madeleine Chone,neutral
AT_USER australia has 3 time zones in the summer and 5 in the winter.,Madeleine Chone,neutral
ha - well thanks AT_USER - need to have your guide closer at hand ;-) .... keeptrying URL,Madeleine Chone,neutral
rt AT_USER winter came to canada. URL,Madeleine Chone,neutral
rt AT_USER winter night routine 2015 || beautychickee URL,Madeleine Chone,neutral
the craziness that is winter has finally arrived! oh and i'm bambi,Madeleine Chone,neutral
"rt URL 5 winter home improvement projects for less than $1,000 realtormag URL realestate realto\u2026",Madeleine Chone,neutral
"rt AT_USER daylight savings slash winter ruin my yt life, literally panicking to wrap my shoots before 3pm cause it's getting dark...why",Madeleine Chone,negative
rt AT_USER wrap up warm with freddie! &gt; URL ethical vegan boots winter URL,Madeleine Chone,neutral
winter day and night mountain scene (christmas) URL,Madeleine Chone,positive
due settimane fa a solda / two weeks ago in sulden skiing tirol tirolo winter inverno \u26c4\u2026 URL,Madeleine Chone,neutral
"we know there's a long winter ahead, but after that first big storm of the season, here's the score... URL",Madeleine Chone,neutral
imnotagrinchbut weird winter people have been known to fear me because i look different,Madeleine Chone,negative
rt AT_USER make hay while the sun shines because you'll need to burn it all in the winter to stay warm! brrrr brassmonkeys #,Madeleine Chone,neutral
"rt AT_USER with colder winter months around the corner, back to health family chiropractic announced tips for building... URL",Madeleine Chone,neutral
winter blues has officially kicked in \ud83d\ude16\u2614\ufe0f\u2744\ufe0f holidayneeded,Madeleine Chone,negative
winter candy apple f*** me right upppp,Madeleine Chone,positive
AT_USER mosaic is my jam! looking forward to this. URL,Madeleine Chone,positive
i \u2764\ufe0f the ny public library URL,Madeleine Chone,neutral
AT_USER twins with the winter classic jersey too yo,Madeleine Chone,neutral
free to download at URL pattern christmas green merrychristmas winter URL,Madeleine Chone,neutral
switzerland mountains in winter via URL failingthehonest URL,Madeleine Chone,positive
can't wait to get to my home town this winter. going to be snow and me and my uncle are going to mudding and hunting \ud83d\udc17 \ud83d\udc17\ud83d\udc17,Madeleine Chone,positive
"rt AT_USER the first winter spirit shirt is in! $10 in the senate office! if this shirt sells out, another one will be coming\ud83d\ude09 htt\u2026",Madeleine Chone,neutral
it's that time of year again ... to get in a shouting match with AT_USER over the merits of space savers. URL,Madeline Jursek,negative
AT_USER i love winter omg,Madeline Jursek,positive
"following protest, barnard instates free winter break housing for students with \""financial or personal\"" need:\u2026 URL",Madeline Jursek,neutral
rt AT_USER 2 days till thanksgiving 7 days till december starts 25 days till winter break 31 days till christmas 38 days till new years\u2026,Madeline Jursek,positive
rt AT_USER sebastian stan // winter soldier URL,Madeline Jursek,neutral
clontarf 5 mile winter\u00a0run URL URL,Madeline Jursek,neutral
if you're a person that hates winter i don't need you in my life,Madeline Jursek,negative
love winter fire? try the taming of mairi mackenzie scottish steamy ku 99 highlanders URL URL,Madeline Jursek,positive
rt AT_USER winter heat prototype URL retrogaming hotss who knows the differences with the final releas\u2026 htt\u2026,Madeline Jursek,neutral
rt AT_USER the blanket scarf is the ultimate winter accessory: URL URL,Madeline Jursek,positive
today some of us made a fire place to add to our winter wonderland! URL,Madeline Jursek,positive
it feels like winter break. this is not good. \ud83d\ude10,Madeline Jursek,negative
a bookish guide to loving winter URL via AT_USER // got any tips?,Madeline Jursek,positive
new hot winter fur hat for women real fox/raccoon fur hat with leather 2015 russia fashion\u2026 URL URL,Madeline Jursek,neutral
dorothy_perkins tuesdayshoeday win keep my feet looking good this winter xxx,Madeline Jursek,positive
2015 winter men leather jacket male fur sstand collar thickening genuine leather windbreak\u2026 URL URL,Madeline Jursek,neutral
rt AT_USER me during this winter URL,Madeline Jursek,neutral
"yigityaparel - winter sun (available january 2016) itunes, beatport,\u2026 URL",Madeline Jursek,neutral
tlt tasty lunch tuesday! warm winter vegetable salad recipe go to URL babybump preggo lunch URL,Madeline Jursek,positive
this is going to make for an interesting black friday! URL,Madeline Jursek,positive
"winter is so bad for me, i become a recluse because i hate the cold",Madeline Jursek,negative
"i'm at raceway in winter garden, fl URL",Madeline Jursek,neutral
"summer can not come quick enough, life can not be enjoyed during winter months",Madeline Jursek,negative
pure tempted to blast my saas on a mew winter wardrobe,Madeline Jursek,positive
are you confident your tyres meet the legal minimum tread requirement? gateshead fastfit check them before winter URL,Madeline Jursek,neutral
going on a tropical winter vacation? here\u2019s how to look incredible in your swimsuit: URL,Madeline Jursek,positive
"rt AT_USER did you enjoy winter??? (i hope so!) stay tuned for new lunar chronicles stories, coming february in stars above: https\u2026",Madeline Jursek,positive
\udbb8\udc59look at these results!\udbb8\udc59 winter is here and it's always the time when your eczema starts to appear again! \udbb8\udf54... URL,Madeline Jursek,neutral
rt AT_USER jacqueline and brian embrace on their wedding day AT_USER colorado winter wedding snow URL,Madeline Jursek,positive
rt AT_USER i need like 100 more crew necks to get me through winter \ud83d\udc4d\ud83c\udffb\ud83d\udc4c\ud83c\udffc\u2744\ufe0f,Madeline Jursek,negative
this new trend in doggy winter fashion is so fetch. URL URL,Madeline Jursek,positive
tell me what you read and i'll tell you who you are toronto travel tumblr photography winter\u2026 URL,Madeline Jursek,neutral
rt AT_USER i can't believe it's already winter season.. time flies.,Madeline Jursek,negative
rt AT_USER winter in holbycity is heating up URL \u2744\ufe0f\ud83d\udd25\u2764\ufe0f URL,Madeline Jursek,positive
drinking a winter white ale by AT_USER @ mac's speed shop \u2014 URL photo,Madeline Jursek,positive
rt AT_USER grange hall bc building/ the little house is the birthplace of dr. jack hyles. beautiful winter site here at hac. https\u2026,Madeline Jursek,neutral
winter and summer mountain scene (christmas) {graphicriver} URL,Madeline Jursek,neutral
winter has arrived @ swiss alps URL,Madeline Jursek,neutral
ooooh a thursday friday saturday scedule for dh winter,Madeline Jursek,positive
URL ebay time paypal ebay time#paypal winteriscoming winter#boots handsome#shoes#fashion#\u2026 URL,Madeline Jursek,neutral
rt AT_USER tour dates: AT_USER announces winter tour 2016 URL URL,Madeline Jursek,neutral
AT_USER just thought you should know!!! URL,Madeline Jursek,neutral
alright time for winter guard auditions!! wish me luck y'all!!,Madeline Jursek,positive
the gem 25 november 2015 : the winter will ask what we did all summer. URL,Madeline Jursek,positive
it's getting cold. don't make these winter car mistakes. URL,Madeline Jursek,negative
AT_USER AT_USER winter coaching news flash for the under 12's eastern will be great URL,Madeline Jursek,neutral
"rt AT_USER sigh. warm weather in winter kswx months is a blessed curse. nice today, but on it's heels shall follow freezing rain\u2026",Madeline Jursek,negative
rt AT_USER say what you want but let's not forget lee has a lovely winter coat &amp; a nice cashmere jumper collection. 5 year deal.,Madeline Jursek,positive
winter fashion for men - URL URL,Madeline Jursek,neutral
the national weather service in wichita has issued a winter weather advisory which is in effect from 6 pm... URL,Madeline Jursek,neutral
i'm really not ready for the winter \ud83d\ude2b,Michael Digiovanni,negative
AT_USER the winter premiere????!,Michael Digiovanni,neutral
AT_USER AT_USER no offense 2 refugees!but!usa &amp;cdn got humans sleeping on streets in winter months!hello reality 102!,Michael Digiovanni,negative
"this past season, mark carter AT_USER spent the winter going balls to the wall in the jackson\u2026 URL",Michael Digiovanni,positive
AT_USER sure am! getting cold now - winter has arrived! where you working these days?,Michael Digiovanni,positive
anyone else excited for christmas to come? december winter family,Michael Digiovanni,positive
rt AT_USER 2 days till thanksgiving 7 days till december starts 25 days till winter break 31 days till christmas 38 days till new ye\u2026,Michael Digiovanni,positive
rt AT_USER heading to naz to cheer on AT_USER tonight? be sure to bring some winter clothes to donate to mary's place! https:/\u2026,Michael Digiovanni,positive
rt AT_USER the fosters &amp; recovery road - abc family reveals winter premiere dates URL,Michael Digiovanni,neutral
beautiful winter AT_USER URL,Michael Digiovanni,positive
if you want your legs to turn into two massive icicles then yeh \u2744\ufe0f\ud83d\ude2d\ud83d\ude31\ud83d\ude02 URL,Michael Digiovanni,negative
"since winter is here \u2013 for the next 6 months, knowing canada \u2013 you may need these 19 ways to save on energy bills: URL",Michael Digiovanni,neutral
rt AT_USER winter is coming ... \ud83c\udf86\ud83c\udf86\ud83c\udf86 URL,Michael Digiovanni,neutral
burberry apresenta pre-collection autumn winter 2016 URL via AT_USER,Michael Digiovanni,neutral
"resort at squaw creek: cook i - winter seasonal (olympicvalley, ca) URL hospitality job jobs hiring",Michael Digiovanni,neutral
i've decided to put my lifeproof back on my phone for the winter since its been cold for 3 days &amp; i've already slipped on ice and fell twice,Michael Digiovanni,negative
so i just spend 100\u20ac on a winter coat...,Michael Digiovanni,negative
"rt AT_USER winter project work starts today , paths on 3/8/14 cleared for mulch and a stone base going in,then gravel on top https:/\u2026",Michael Digiovanni,neutral
rt AT_USER dec 21st winter formal for juniors &amp; seniors only!!! $10 to get in!! \u2744\ufe0f\u2744\ufe0f,Michael Digiovanni,positive
rt AT_USER escape to the lakedistrict this winter with our winter deal from \u00a349 pppn - URL details - URL,Michael Digiovanni,positive
someone read the winter king trilogy so i can discuss how much arthur and derfel were in love pls,Michael Digiovanni,positive
AT_USER he made a bet with 3rd block for the winter warmth drive. i'm in 4th block though,Michael Digiovanni,neutral
rt AT_USER stay warm this winter w/ AT_USER - and let the animals stay warm too. warmerconscious URL https:/\u2026,Michael Digiovanni,positive
a little reminder to wear bright or high viz gear when out running in the dark winter nights. URL,Michael Digiovanni,neutral
i can\u2019t stress enough how much easier packing for winter break was thanks to AT_USER,Michael Digiovanni,positive
a fall day before winter strikes URL,Michael Digiovanni,positive
because winter doesn't have to be cold and grey... URL AT_USER,Michael Digiovanni,positive
winter tails field art meadow sky twilight nature # URL AT_USER,Michael Digiovanni,positive
wintertraining powerwheel i use winter as my way of making workouts even more enjoyable outside.\u2026 URL,Michael Digiovanni,positive
